months_as_customer,policy_bind_date,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_education_level,insured_occupation,capital-gains,capital-loss,incident_type,incident_severity,authorities_contacted,incident_hour_of_the_day,property_damage,bodily_injuries,witnesses,police_report_available,injury_claim,property_claim,vehicle_claim,fraud_reported,days_to_claim
328,2014-10-17,250/500,1000,1406.91,0,MD,craft-repair,53300,0,Single Vehicle Collision,Major Damage,Police,5,YES,1,2,YES,6510,13020,52080,Y,100
228,2006-06-27,250/500,2000,1197.22,5000000,MD,machine-op-inspct,0,0,Vehicle Theft,Minor Damage,Police,8,NO,0,0,NO,780,780,3510,Y,3130
134,2000-09-06,100/300,2000,1413.14,5000000,PhD,sales,35100,0,Multi-vehicle Collision,Minor Damage,Police,7,NO,2,3,NO,7700,3850,23100,N,5282
256,1990-05-25,250/500,2000,1415.74,6000000,PhD,armed-forces,48900,-62400,Single Vehicle Collision,Major Damage,Police,5,NO,1,2,NO,6340,6340,50720,Y,8996
228,2014-06-06,500/1000,1000,1583.91,6000000,Associate,sales,66000,-46000,Vehicle Theft,Minor Damage,,20,NO,0,1,NO,1300,650,4550,N,256
256,2006-10-12,250/500,1000,1351.1,0,PhD,tech-support,0,0,Multi-vehicle Collision,Major Damage,Fire,19,NO,0,2,NO,6410,6410,51280,Y,3004
137,2000-06-04,250/500,1000,1333.35,0,PhD,prof-specialty,0,-77000,Multi-vehicle Collision,Minor Damage,Police,0,NO,0,0,NO,21450,7150,50050,N,5336
165,1990-02-03,100/300,1000,1137.03,0,Associate,tech-support,0,0,Multi-vehicle Collision,Total Loss,Police,23,NO,2,2,YES,9380,9380,32830,N,9155
27,1997-02-05,100/300,500,1442.99,0,PhD,other-service,0,0,Single Vehicle Collision,Total Loss,Police,21,NO,1,1,YES,2770,2770,22160,N,6568
212,2011-07-25,100/300,500,1315.68,0,PhD,priv-house-serv,0,-39300,Single Vehicle Collision,Total Loss,Other,14,NO,2,1,NO,4700,4700,32900,N,1260
235,2002-05-26,100/300,500,1253.12,4000000,Masters,exec-managerial,38400,0,Single Vehicle Collision,Total Loss,Police,22,YES,2,2,NO,7910,15820,63280,N,4608
447,1999-05-29,100/300,2000,1137.16,0,High School,exec-managerial,0,-51000,Multi-vehicle Collision,Major Damage,Fire,21,YES,1,2,YES,17680,17680,79560,N,5741
60,1997-11-20,500/1000,500,1215.36,3000000,MD,protective-serv,0,0,Single Vehicle Collision,Total Loss,Ambulance,9,YES,1,0,NO,4710,9420,42390,N,6272
121,2012-10-26,100/300,1000,936.61,0,MD,armed-forces,52800,-32800,Parked Car,Minor Damage,,5,NO,1,1,NO,1120,1120,5040,N,804
180,1998-12-28,250/500,2000,1301.13,0,College,machine-op-inspct,41300,-55500,Single Vehicle Collision,Total Loss,Police,12,NO,0,2,YES,4200,8400,33600,Y,5862
473,1992-10-19,100/300,2000,1131.4,0,MD,transport-moving,55700,0,Multi-vehicle Collision,Major Damage,Other,12,YES,0,0,NO,10520,10520,42080,Y,8137
70,2005-06-08,500/1000,1000,1199.44,5000000,College,machine-op-inspct,63600,0,Multi-vehicle Collision,Major Damage,Other,0,NO,1,2,YES,5790,5790,40530,N,3546
140,2004-11-15,500/1000,500,708.64,6000000,High School,machine-op-inspct,53500,0,Single Vehicle Collision,Total Loss,Police,9,NO,0,2,YES,14160,7080,56640,N,3704
160,2014-12-28,500/1000,500,1374.22,0,MD,craft-repair,45500,-37800,Single Vehicle Collision,Total Loss,Other,19,YES,1,0,NO,6630,13260,53040,N,22
196,1992-08-02,500/1000,2000,1475.73,0,High School,handlers-cleaners,57000,-27300,Multi-vehicle Collision,Major Damage,Police,8,NO,2,0,NO,6040,6040,48320,N,8239
460,2002-06-25,250/500,1000,1187.96,4000000,JD,other-service,0,0,Multi-vehicle Collision,Minor Damage,Police,20,NO,1,0,NO,0,5240,41920,N,4573
217,2005-11-27,500/1000,2000,875.15,0,Associate,machine-op-inspct,46700,0,Multi-vehicle Collision,Total Loss,Police,15,NO,1,2,NO,0,4730,33110,N,3362
370,1994-05-27,100/300,2000,972.18,0,High School,prof-specialty,72700,-68200,Multi-vehicle Collision,Major Damage,Ambulance,20,NO,0,0,YES,17880,5960,47680,Y,7534
